chart,difficulty,difficulty_level,song_title_eng,song_title_jpn,cluster,total_notes,bpm,duration_seconds,pca_x,pca_y
67_master.svg,master,26,Jishoumushoku,自傷無色,5,829,120.0,104.0,0.4114843046816508,-2.0818987916372453
172_append.svg,append,26,Happy Halloween,Happy Halloween,5,832,120.0,123.0,-0.11518522485174394,-1.731199964250492
604_master.svg,master,26,,Packaged,5,839,125.0,129.0,0.38128193296278934,-1.7244603381299488
83_expert.svg,expert,26,Gimme×Gimme,Gimme×Gimme,5,842,105.0,135.0,-0.33657388230146335,-2.462985190529902
228_master.svg,master,26,Goodbye,Goodbye,5,860,133.0,126.0,0.5905228760273492,-1.3990383512033473
517_expert.svg,expert,26,merry-go-round,メリーゴーラウンド,5,874,116.0,138.0,-0.2884165981273444,-1.8605695371517927
205_expert.svg,expert,26,Odo,踊,5,882,128.0,141.0,0.2199313617570202,-1.468170255144804
628_expert.svg,expert,26,,モニタリング,5,901,132.0,133.0,0.3622036280580605,-1.3141625830172963
304_expert.svg,expert,26,I am you,Iなんです,5,910,92.5,106.0,0.3099745898931396,-3.498329261154982
218_master.svg,master,26,Meru,メリュー,5,983,130.0,140.0,0.4257925729493817,-1.4379206230117412
107_expert.svg,expert,26,Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,5,1025,127.4567,135.0,1.1134264580336735,-1.9345281407541248
376_expert.svg,expert,26,Selfish princess,我儘姫,5,1040,121.095,141.0,1.001120124469235,-2.2376990759514848
194_append.svg,append,26,DSCF,妄想感傷代償連盟,5,1092,110.0,141.0,0.7887296572439998,-2.6870826486543664
446_expert.svg,expert,26,O-Barcode,オーバーコード,5,1113,120.0,160.0,0.9430873489780087,-2.3246086695782435
217_master.svg,master,27,City,街,5,769,128.0,102.0,-0.18234876301375236,-1.2787210436795358
404_master.svg,master,27,blender,blender,5,781,103.0,136.0,-0.174042276003307,-2.625089090326116
191_master.svg,master,27,The Servant of Evil,悪ノ召使,5,784,120.0,94.0,0.7307927316566508,-2.1523515878195933
212_master.svg,master,27,Starry sky melody,星空のメロディー,5,821,113.0,108.0,0.1350575138210213,-2.231749977604326
73_master.svg,master,27,Near,ニア,5,841,128.0,116.0,0.045618276537117176,-1.3802605269227457
309_master.svg,master,27,Afterglow,Afterglow,5,844,125.875,146.0,0.46876620953473097,-2.181330808036513
66_master.svg,master,27,Hello/How Are You?,ハロ／ハワユ,5,851,95.0,146.0,0.351642969450434,-3.297418622367667
242_master.svg,master,27,Torinokocity,トリノコシティ,5,852,135.0,117.0,0.869467400066204,-1.6864948093489438
426_master.svg,master,27,On&On,On&On,5,859,126.0,115.0,0.6488493099662624,-1.7983421232758219
431_master.svg,master,27,flos,flos,5,893,118.0,125.0,0.25337838402822405,-2.0260857080082673
8_master.svg,master,27,Time Machine,タイムマシン,5,903,126.0,124.0,0.227224564349378,-1.5684510733769679
223_master.svg,master,27,Thousand Year Solo,千年の独奏歌,5,906,108.0,151.0,-0.5502387541244111,-2.1427454194612476
497_master.svg,master,27,Blazing,烈火,5,948,132.0,139.0,0.23238731982299948,-1.2568015583492815
603_master.svg,master,27,,ドレミファロンド,5,961,125.0,130.0,0.23405044394621408,-1.6089461727648988
194_master.svg,master,27,DSCF,妄想感傷代償連盟,5,966,110.0,141.0,-0.19652004285515065,-2.2011266852292777
43_expert.svg,expert,27,NEXT NEST,ネクストネスト,5,983,128.0,127.0,0.9809413061534857,-1.828618189460109
269_master.svg,master,27,Lonely Universe,ロンリーユニバース,5,999,100.0,141.0,0.41709253051843087,-3.316830355349268
350_master.svg,master,27,Gift from the Princess who Brought Sleep,眠らせ姫からの贈り物,5,1003,126.0,135.0,0.9527301260563635,-1.914838080085338
147_master.svg,master,27,Karakuri Pierrot,からくりピエロ,5,1005,102.0,138.0,0.5549543979896706,-3.0065986312969386
82_master.svg,master,27,alive,alive,5,1016,128.0,118.0,1.089872478404429,-2.1480957174308317
457_append.svg,append,27,Supernova,Supernova,5,1016,105.0,130.0,0.7378174250531281,-2.97828226717208
232_master.svg,master,27,blue paint,青色絵具,5,1058,126.0,156.0,0.7766666240901872,-1.8538473662054489
405_master.svg,master,27,MOTTO!!!,MOTTO!!!,5,1067,130.0,143.0,0.7845684073606956,-1.6090476972949126
318_master.svg,master,27,Sharing The World,Sharing The World,5,1122,129.0,150.0,0.944860421619584,-1.7420755253675568
577_master.svg,master,28,Smile Symphony,スマイル*シンフォニー,5,667,122.0,94.0,0.0647141792767227,-1.7370552189270827
394_master.svg,master,28,Bottle Cake,ボトルケーキ,5,759,107.0,115.0,-0.14108623733576328,-2.6187746420898756
594_master.svg,master,28,,Call!!,5,765,108.0,102.0,-0.3354519282257321,-2.2731096105425577
471_master.svg,master,28,ULTRA C,ULTRA C,5,769,128.0,97.0,0.32792433296228446,-1.534802821000378
325_master.svg,master,28,Becoming Pigs Yeah Yeah,豚になってyeah yeah,5,778,115.0,121.0,-0.09521880515513985,-2.0156672687621304
519_master.svg,master,28,Natsuyo No Uta,夏夜ノ唄,5,787,103.0,122.0,-0.33722495013903403,-2.5429984516460866
565_master.svg,master,28,,夏に透明,5,788,128.0,121.0,-0.09403522995330289,-1.3135644355846807
400_master.svg,master,28,We are the Stain Busters!,我らステインバスターズ！,5,810,125.0,104.0,0.1624026560242163,-1.7836880200732763
383_master.svg,master,28,purpose,purpose,5,812,130.0,108.0,0.45079123341529936,-1.538708130917434
455_master.svg,master,28,DOKUZU,ド屑,5,817,115.0,120.0,0.516114584587929,-2.526310461883215
582_master.svg,master,28,,アンチユー,5,820,129.0,119.0,0.239827229380036,-1.466899791562053
600_master.svg,master,28,,征け,5,825,135.0,111.0,0.23239873790038082,-1.1615967616768472
629_master.svg,master,28,,8.32,5,832,110.0,121.0,-0.18736775704322456,-2.241799262178125
75_master.svg,master,28,Tale of the Deep-sea Lily,ウミユリ海底譚,5,833,120.0,102.0,0.8590614768481779,-2.283011073720119
522_master.svg,master,28,WAVE,WAVE,5,837,130.0,117.0,-0.03215380875421428,-1.6216822686483412
207_master.svg,master,28,Peaky Peaky,Peaky Peaky,5,855,132.0,105.0,0.6626408863435017,-1.7344132931938459
150_master.svg,master,28,TOKIO FUNKA,トキヲ・ファンカ,5,859,108.0,107.0,-0.401150032519429,-2.2980845150050575
305_master.svg,master,28,STROBE LAST,ストロボラスト,5,866,120.0,132.0,0.3798371936015522,-2.049484021382156
105_master.svg,master,28,once upon a dream,ワンスアポンアドリーム,5,871,132.0,112.0,1.0662528087528056,-1.6690159776777715
457_master.svg,master,28,Supernova,Supernova,5,890,105.0,130.0,-0.02389512084962146,-2.579359148539281
527_master.svg,master,28,Unpoison,Unpoison,5,897,119.0,122.0,0.5921554551449618,-2.1264108698141913
398_master.svg,master,28,Beyond the way,Beyond the way,5,900,125.0,116.0,0.48394195337385065,-1.7514549536674464
415_master.svg,master,28,Lucky☆Orb,ラッキー☆オーブ,5,919,126.0,120.0,0.7476085569801476,-1.987130322281303
200_master.svg,master,28,Airhead,ガランド,5,943,93.0,130.0,0.541438277555876,-3.548886773343434
214_master.svg,master,28,My Palette is Full of You,パレットには君がいっぱい,5,966,120.0,133.0,-0.17949765842678436,-1.7074729550344057
27_master.svg,master,28,Just Be Friends,Just Be Friends,5,989,128.0,132.0,0.8088873848990394,-1.7433826062570585
203_master.svg,master,28,Tricologe,トリコロージュ,5,999,130.0,125.0,0.7511169411825852,-1.5976768318069434
362_master.svg,master,28,Wonder Style,Wonder Style,5,1013,128.0,136.0,0.7276018376571994,-1.69983624144363
44_append.svg,append,28,Hand in Hand,Hand in Hand,5,1020,128.0,123.0,0.6032638424936589,-1.6518423672460598
430_master.svg,master,28,"""Hmm,Ah,Ah.""",『んっあっあっ。』,5,1071,123.0,128.0,0.8355713568122612,-2.0987782124581904
393_master.svg,master,28,Un-Lock,Un-Lock,5,1096,130.0,139.0,0.8727296880258711,-1.6456743503181515
126_master.svg,master,29,Cinema,シネマ,5,800,124.0,106.0,-0.002196623894494263,-1.9982404873168398
111_master.svg,master,29,Cutlery,カトラリー,5,806,108.0,111.0,0.18155569231558538,-2.5201249552137375
571_master.svg,master,29,,偽物人間40号,5,823,112.0,127.0,-0.2514538961745567,-2.2888177312719
505_master.svg,master,29,Call Boy,コールボーイ,5,836,109.0,124.0,-0.6112287217471114,-2.1441331743824135
483_master.svg,master,29,A Word,アコトバ,5,857,125.0,130.0,0.029501690233927996,-1.5358224788692458
297_master.svg,master,29,p.h.,p.h.,5,872,132.0,111.0,0.6543296696931207,-1.4585633782903458
507_master.svg,master,29,Empurple,エンパープル,5,877,136.0,125.0,0.3239457089989554,-1.0928939476334794
557_master.svg,master,29,,花溺れ,5,895,128.0,126.0,0.7645594783411765,-1.8160587660900167
15_master.svg,master,29,drop pop candy,drop pop candy,5,902,130.0,106.0,0.7120097070682576,-1.7914154806714315
655_master.svg,master,29,,リリィララ,5,903,130.0,123.0,0.3399421755243129,-1.4100761383219023
83_master.svg,master,29,Gimme×Gimme,Gimme×Gimme,5,907,105.0,135.0,0.01767534363253914,-2.6255940533616715
245_master.svg,master,29,Aun no Beats,阿吽のビーツ,5,918,103.0,136.0,0.3747086174202347,-2.870143005204521
638_master.svg,master,29,,花弁、それにまつわる音声,5,952,108.0,131.0,0.4706474240435156,-2.6491837008802066
628_master.svg,master,29,,モニタリング,5,973,132.0,133.0,0.329440900034905,-1.3880899492328382
429_master.svg,master,29,Hug,はぐ,5,983,120.0,129.0,0.8933632210049639,-2.233090579775774
150_append.svg,append,29,TOKIO FUNKA,トキヲ・ファンカ,5,997,108.0,107.0,0.17154602841670658,-2.508170411593751
274_master.svg,master,29,"Even so, It's OK",それでもいいんだよ,5,1009,132.0,128.0,0.7126988194334144,-1.4727430774885346
398_append.svg,append,29,Beyond the way,Beyond the way,5,1017,125.0,116.0,1.0526451676453135,-2.3036019408163257
517_master.svg,master,29,merry-go-round,メリーゴーラウンド,5,1024,116.0,138.0,0.3749674879911978,-2.1576824331757436
244_append.svg,append,29,Awake Now,Awake Now,5,1049,117.0,121.0,0.719397296933604,-2.2864280523196756
205_master.svg,master,29,Odo,踊,5,1083,128.0,141.0,0.8645296518069072,-1.7432081128916606
153_master.svg,master,29,Miku,Miku,5,1106,128.0,155.0,0.815256097793424,-1.7275600619398161
166_master.svg,master,30,Glory Steady Go!,Glory Steady Go!,5,875,131.0,99.0,0.7230909283168382,-1.5450620724143562
137_master.svg,master,30,Singing of a flower,花を唄う,5,878,115.0,110.0,0.42283767959006535,-2.2534659644541186
244_master.svg,master,30,Awake Now,Awake Now,5,884,117.0,121.0,0.5745551747244723,-2.2237695590116218
90_master.svg,master,31,Close to gray,限りなく灰色へ,5,849,108.0,121.0,-0.0721919565969201,-2.3806316919823978
133_master.svg,master,31,Devil's Manner,悪魔の踊り方,5,938,106.0,117.0,0.5031825364444154,-2.7543815407533585
172_master.svg,master,31,Happy Halloween,Happy Halloween,5,987,120.0,123.0,0.3658680521913895,-1.9719277244825009
333_expert.svg,expert,26,Mr. Showtime,Mr. Showtime,6,1341,218.0,138.0,4.377604660310191,1.333059350506115
291_expert.svg,expert,26,Pheles,フェレス,6,1374,220.0,139.0,5.095384350369995,1.1096449168100913
186_expert.svg,expert,28,Hatsune Creation Myth,初音天地開闢神話,6,1581,240.0,182.0,5.3318581120498685,2.09275962845149
543_expert.svg,expert,29,Birthright Syndrome,生命性シンドロウム,6,1299,247.5,133.0,5.1821002273187515,2.5561359548812472
220_master.svg,master,29,DONUT HOLE,ドーナツホール 2024,6,1328,252.0,138.0,5.19547004333563,2.7620876948152877
328_expert.svg,expert,29,Sekai-Chan and Kafu-Chan's Otsukai Gassoukyoku,星界ちゃんと可不ちゃんのおつかい合騒曲,6,1491,220.0,154.0,6.419269507353871,0.488163578688873
340_master.svg,master,29,It was a very nice June,とても素敵な六月でした,6,1491,210.0,154.0,5.0238787433060335,0.6039812121657024
261_master.svg,master,30,Stardust Utopia,星屑ユートピア,6,1308,240.0,131.0,4.7727374697865015,2.3206917478018694
666_master.svg,master,30,,少女A,6,1312,260.0,135.0,5.842678181026351,2.861244076555708
250_expert.svg,expert,30,Kusare-gedou and Chocolate,腐れ外道とチョコレゐト,6,1396,260.0,132.0,5.767837442150112,2.905768057199584
291_master.svg,master,30,Pheles,フェレス,6,1397,220.0,139.0,4.776764707687683,1.261605486943538
36_master.svg,master,30,Miracle Paint,ミラクルペイント,6,1437,215.0,146.0,4.987192122778294,0.8901522007479702
49_expert.svg,expert,30,THE END OF HATSUNE MIKU,初音ミクの消失,6,1502,240.0,143.0,4.990751895748477,2.242501573620873
668_expert.svg,expert,31,,ネクラチューンサーカス,6,1380,209.0,126.0,4.844723787614842,0.6582517631904806
486_expert.svg,expert,31,Ogyarinizer,おぎゃりないざー,6,1387,225.0,127.0,5.461795657510581,1.1770379888919205
88_master.svg,master,31,Chururira Chururira Daddadda!,チュルリラ・チュルリラ・ダッダッダ！,6,1401,220.0,143.0,5.402376930528066,0.961477051814081
487_expert.svg,expert,31,ARE YOU OK?,ダイジョブですか？,6,1495,204.5,127.0,6.4001581291557565,-0.48036473904347754
333_master.svg,master,31,Mr. Showtime,Mr. Showtime,6,1497,218.0,138.0,4.8230771978325855,1.1397052242457608
329_expert.svg,expert,31,YAMINABE!!!!,ヤミナベ!!!!,6,1539,237.0,129.0,7.272474523794791,0.9443021008515439
162_expert.svg,expert,31,End Mark ni Kibou to Namida wo soete,エンドマークに希望と涙を添えて,6,1553,257.0,141.0,5.846291078078775,2.748830286498349
176_expert.svg,expert,31,MACHINEGUN POEM DOLL,マシンガンポエムドール,6,1730,220.0,140.0,5.5660159352881085,0.9644525109562306
291_append.svg,append,31,Pheles,フェレス,6,1744,220.0,139.0,6.742567121354158,0.3707849094743914
623_append.svg,append,32,,とうほう☆ワンダーランド,6,1488,200.0,112.0,5.17513131370704,0.039226723714414574
136_master.svg,master,32,Children Record,チルドレンレコード,6,1502,210.0,128.0,6.094920366700883,0.13135897379874503
328_master.svg,master,32,Sekai-Chan and Kafu-Chan's Otsukai Gassoukyoku,星界ちゃんと可不ちゃんのおつかい合騒曲,6,1626,220.0,154.0,6.0954016550350305,0.6720307800669424
543_master.svg,master,33,Birthright Syndrome,生命性シンドロウム,6,1493,247.5,133.0,6.293283256019641,2.044060725280992
220_append.svg,append,33,DONUT HOLE,ドーナツホール 2024,6,1792,252.0,138.0,6.691674626333746,2.116542790672653
186_master.svg,master,33,Hatsune Creation Myth,初音天地開闢神話,6,2021,240.0,182.0,7.6357644913417175,1.023025684534493
486_master.svg,master,34,Ogyarinizer,おぎゃりないざー,6,1637,225.0,127.0,7.04480774495058,-0.09596046210708338
668_master.svg,master,34,,ネクラチューンサーカス,6,1913,209.0,126.0,6.151970763646978,0.08280364400170495
396_append.svg,append,34,Tokyo Teddy Bear,東京テディベア,6,2024,204.0,135.0,6.514385483911467,-0.3401966019558235
49_master.svg,master,35,THE END OF HATSUNE MIKU,初音ミクの消失,6,1666,240.0,143.0,5.859944457870355,1.856603859272067
250_master.svg,master,35,Kusare-gedou and Chocolate,腐れ外道とチョコレゐト,6,1763,260.0,132.0,8.322281186839628,1.7409261680939099
447_append.svg,append,35,folern,folern,6,1794,200.0,141.0,5.378427777848833,-0.012093812795504814
176_master.svg,master,35,MACHINEGUN POEM DOLL,マシンガンポエムドール,6,1819,220.0,140.0,5.214832822445462,1.1544150372321182
671_master.svg,master,35,,怪獣になりたい,6,1900,220.0,124.0,7.521989565892916,0.00591855522372103
503_append.svg,append,35,Chou Saishuu Kichiku Imouto Flandre S,超最終鬼畜妹フランドール・Ｓ,6,1914,210.0,123.0,6.508726646860471,-0.00026046626258802684
162_master.svg,master,35,End Mark ni Kibou to Namida wo soete,エンドマークに希望と涙を添えて,6,1948,257.0,141.0,7.209982423582049,2.159999756659916
163_master.svg,master,36,the EmpErroR,the EmpErroR,6,1593,240.0,126.0,5.035116849984047,2.2647766574550507
488_append.svg,append,37,Memoria,メモリア,6,2117,205.0,160.0,6.893387339189793,-0.4515304097280095
449_append.svg,append,37,MarbleBlue.,MarbleBlue.,6,2500,198.0,163.0,6.927852193420403,-0.7831611268755194
294_normal.svg,normal,11,Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,7,263,74.0,127.0,-3.8868040352397712,-3.8968529344343
130_normal.svg,normal,12,From Tokyo,フロムトーキョー,7,227,130.0,99.0,-2.78271595744017,-1.5048285661250844
275_normal.svg,normal,13,paradichlorobenzene,パラジクロロベンゼン,7,446,122.5,149.0,-1.986993642273372,-2.059888797812802
66_hard.svg,hard,15,Hello/How Are You?,ハロ／ハワユ,7,501,95.0,146.0,-1.8960750553891819,-3.0803784985849396
144_hard.svg,hard,16,Love material,アイノマテリアル,7,457,120.0,124.0,-1.8763902494536189,-1.9586811589774704
294_hard.svg,hard,16,Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,7,460,74.0,127.0,-2.8049455381006987,-3.5688840719331534
619_hard.svg,hard,16,,Connecting,7,482,91.0,122.0,-2.643396024547862,-3.159411740755111
147_hard.svg,hard,16,Karakuri Pierrot,からくりピエロ,7,489,102.0,138.0,-2.2375787638050486,-2.6139967755308215
172_hard.svg,hard,16,Happy Halloween,Happy Halloween,7,533,120.0,123.0,-1.5676253268631368,-1.91773261782672
219_hard.svg,hard,16,DUNE,砂の惑星,7,661,95.0,134.0,-1.572195772014437,-3.129089527910849
522_hard.svg,hard,17,WAVE,WAVE,7,497,130.0,117.0,-1.7630840844407807,-1.750429392433983
403_hard.svg,hard,17,TSUGAIKOGARASHI,番凩,7,512,109.0,125.0,-1.8442658009986683,-2.1983987814344905
15_hard.svg,hard,17,drop pop candy,drop pop candy,7,546,130.0,106.0,-1.3509599553488112,-1.5149166836837276
289_hard.svg,hard,17,Amanojaku,天ノ弱,7,685,101.0,109.0,-1.2072519807053135,-2.9728524283284488
130_hard.svg,hard,18,From Tokyo,フロムトーキョー,7,441,130.0,99.0,-1.6650352757733509,-1.665169279781129
90_hard.svg,hard,18,Close to gray,限りなく灰色へ,7,470,108.0,121.0,-1.9734044928240888,-2.2472263333153277
150_hard.svg,hard,18,TOKIO FUNKA,トキヲ・ファンカ,7,543,108.0,107.0,-1.8187225408151384,-2.389241945922127
639_hard.svg,hard,18,,マリオネットダンサー,7,553,112.0,127.0,-1.5880529398902035,-2.6038545595395988
245_hard.svg,hard,18,Aun no Beats,阿吽のビーツ,7,588,103.0,136.0,-1.6068557309246296,-2.9156585374443207
377_hard.svg,hard,18,Kiss the Villain,悪役にキスシーンを,7,679,124.0,154.0,-1.0752002138287422,-1.9967685454977406
300_hard.svg,hard,18,Samsa,ザムザ,7,694,121.0,114.0,-0.9129788601161981,-2.177991666388902
356_hard.svg,hard,19,Realize,リアライズ,7,465,150.0,94.0,-1.1616226164170085,-0.903970415750712
294_expert.svg,expert,22,Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,7,615,74.0,127.0,-1.9919029261838395,-4.149814911295565
409_expert.svg,expert,22,Passion at 25:00,25時の情熱,7,625,86.0,119.0,-1.4492577028156246,-3.649103853304437
144_expert.svg,expert,22,Love material,アイノマテリアル,7,643,120.0,124.0,-0.9192437880795951,-2.253055579660204
358_expert.svg,expert,22,kokoronashi,心做し,7,676,84.0,138.0,-1.1274809775767114,-4.006963684964535
619_expert.svg,expert,23,,Connecting,7,616,91.0,122.0,-1.352323122133729,-3.6629092399744447
463_expert.svg,expert,23,Happy Cheat Day,ハッピーチートデー,7,645,124.0,123.0,-1.1130415071381206,-2.493828653845037
295_expert.svg,expert,23,Float Planner,フロート・プランナー,7,685,138.0,103.0,-0.5387410956841787,-1.5213398152965993
431_expert.svg,expert,23,flos,flos,7,694,118.0,125.0,-0.9952802479025483,-2.4856426243450573
76_expert.svg,expert,23,SEKAI,セカイ,7,735,133.0,112.0,-0.32502081098400043,-1.747704087619647
293_expert.svg,expert,23,Irony,アイロニ,7,861,90.0,144.0,-0.7989992583448301,-3.8907292667668916
219_expert.svg,expert,23,DUNE,砂の惑星,7,873,95.0,134.0,-0.30041961670121714,-3.718283214670638
130_expert.svg,expert,24,From Tokyo,フロムトーキョー,7,640,130.0,99.0,-0.5500404218792614,-1.931733086764571
403_expert.svg,expert,24,TSUGAIKOGARASHI,番凩,7,716,109.0,125.0,-0.684139596516157,-2.7597984698604257
92_expert.svg,expert,24,Otome Dissection,乙女解剖,7,834,134.0,111.0,1.0430113065087094,-2.1802830621122444
96_expert.svg,expert,24,from Y to Y,from Y to Y,7,847,98.0,155.0,-0.3442728682295256,-3.4732475923824535
15_expert.svg,expert,25,drop pop candy,drop pop candy,7,773,130.0,106.0,-0.031599645955725605,-2.019809756864612
300_expert.svg,expert,25,Samsa,ザムザ,7,779,121.0,114.0,-0.5481900639494915,-2.0393283208749677
289_expert.svg,expert,25,Amanojaku,天ノ弱,7,982,101.0,109.0,0.44792418016303803,-3.96017124626568
74_master.svg,master,26,Hitorinbo Envy,独りんぼエンヴィー,7,589,132.0,74.0,-0.27992948841141685,-1.6703200527834474
187_expert.svg,expert,26,Lower one's eyes,ロウワー,7,780,132.0,107.0,-0.14638852171820133,-1.7995275468051983
418_expert.svg,expert,26,Osmanthus,金木犀,7,814,123.0,123.0,0.10973216278825067,-2.604062793877937
144_master.svg,master,26,Love material,アイノマテリアル,7,814,120.0,124.0,0.020791021491939333,-2.718492874555607
339_master.svg,master,26,glow,glow,7,987,85.0,158.0,0.28260373828577,-4.580214831974809
295_master.svg,master,27,Float Planner,フロート・プランナー,7,832,138.0,103.0,0.4748799311393016,-1.9662163263291275
155_master.svg,master,27,Heartbeat #0822,心拍数♯0822,7,843,114.0,123.0,0.1945460178596229,-2.7190286927344194
76_master.svg,master,27,SEKAI,セカイ,7,858,133.0,112.0,0.22666946926624906,-1.866973750501433
403_master.svg,master,27,TSUGAIKOGARASHI,番凩,7,892,109.0,125.0,0.08441326802979768,-3.2913758356418485
96_master.svg,master,27,from Y to Y,from Y to Y,7,982,98.0,155.0,-0.12221152571608511,-3.6409096420116147
50_master.svg,master,27,Blessing,Blessing,7,986,110.0,132.0,0.5924144193989012,-3.537466062617638
219_master.svg,master,27,DUNE,砂の惑星,7,1062,95.0,134.0,0.9063468622967707,-4.089540659714174
382_master.svg,master,28,Shinpaku Pairing,心拍ペアリング,7,696,134.0,87.0,0.03775768861182762,-1.8930263765064776
130_master.svg,master,28,From Tokyo,フロムトーキョー,7,814,130.0,99.0,0.37794334246395406,-2.481779846496203
76_append.svg,append,28,SEKAI,セカイ,7,945,133.0,112.0,0.7323859883112813,-2.4652225364862432
92_master.svg,master,28,Otome Dissection,乙女解剖,7,1002,134.0,111.0,1.4478736426492012,-2.4660367615351535
69_master.svg,master,28,Fragile,フラジール,7,1040,127.0,124.0,1.3049080558422286,-2.8095668159473557
54_master.svg,master,29,Ready Steady,Ready Steady,7,667,115.0,92.0,-0.4507584764605963,-2.4966361972379416
540_master.svg,master,29,,虚無さん,7,899,115.0,94.0,0.6539662081235132,-3.307508665280715
418_master.svg,master,29,Osmanthus,金木犀,7,899,123.0,123.0,0.7839182943547366,-2.705125195669813
377_master.svg,master,29,Kiss the Villain,悪役にキスシーンを,7,1188,124.0,154.0,0.6826011929435007,-2.7334729254515273
300_master.svg,master,30,Samsa,ザムザ,7,937,121.0,114.0,0.12948590869116186,-2.341286786577056
161_master.svg,master,30,magic number,magic number,7,988,120.0,111.0,0.8163701243990579,-3.6573233491425863
187_master.svg,master,31,Lower one's eyes,ロウワー,7,850,132.0,107.0,0.027671089349082693,-1.7873491171035403
561_master.svg,master,32,,プロトディスコ,7,1057,140.0,129.0,0.9806562490559806,-1.8895911037347362
48_hard.svg,hard,17,The World is Mine,ワールドイズマイン,8,899,133.5,170.0,0.9850435182696476,-1.546946497245406
164_hard.svg,hard,23,Don't Fight The Music,Don't Fight The Music,8,1175,137.0,160.0,1.3622091694964336,-1.6136017354741738
343_expert.svg,expert,24,Snowman,スノーマン,8,1001,127.0,144.0,1.1237117648141226,-1.9648858263598274
169_expert.svg,expert,24,Shoujo Rei,少女レイ,8,1168,150.0,159.0,1.9269108638031058,-1.1180531212991043
461_expert.svg,expert,24,Odorobo,おどロボ,8,1266,145.0,164.0,1.7856262890349552,-1.2928243317148642
352_expert.svg,expert,25,It's just life,命ばっかり,8,1037,128.0,130.0,1.9111394941239854,-2.281009837389629
525_expert.svg,expert,25,Antenna 39,アンテナ39,8,1039,147.0,125.0,2.6382883488171136,-1.622952163179192
239_expert.svg,expert,25,Moonlight,月光,8,1058,109.0,157.0,1.1706235090235366,-2.93963950283556
177_expert.svg,expert,25,Butterfly on Your Right Shoulder,右肩の蝶,8,1058,140.0,132.0,2.0149378418368014,-1.6938472634982304
226_expert.svg,expert,25,Lost and Found,ロストエンファウンド,8,1082,92.0,156.0,1.1683043060199765,-3.833273644145873
41_append.svg,append,25,Sweet Magic,スイートマジック,8,1126,123.0,149.0,1.4546524239731282,-2.313323555862012
272_expert.svg,expert,25,Gehenna,ジェヘナ,8,1177,128.0,153.0,2.520615794166113,-2.582076708652592
235_expert.svg,expert,25,Journey,Journey,8,1285,128.0,166.0,1.3190977960496608,-1.941714710953134
1_append.svg,append,25,Tell Your World,Tell Your World,8,1353,150.0,123.0,1.9506224165641006,-1.1134153862974099
372_expert.svg,expert,25,Tengaku,天樂,8,1396,116.0,151.0,2.61174428751086,-3.2186247108279593
100_master.svg,master,26,ECHO,ECHO,8,805,140.0,99.0,1.696972653076864,-1.5557854208412494
247_master.svg,master,26,Copycat,Copycat,8,997,137.0,125.0,1.6528171269708845,-1.7331319618881982
174_append.svg,append,26,"1,2, FanClub",いーあるふぁんくらぶ,8,1015,145.0,125.0,2.3176266294261274,-1.5791009711342057
148_master.svg,master,26,ray,ray,8,1092,132.0,131.0,1.7970781799377578,-2.059233920878556
330_master.svg,master,26,Interviewer,インタビュア,8,1097,125.0,145.0,1.3198205832289462,-2.137679549555546
336_expert.svg,expert,26,Be The MUSIC!,Be The MUSIC!,8,1121,128.0,155.0,1.2190178222917636,-1.929221546749101
81_expert.svg,expert,26,Yobanashi Deceive,夜咄ディセイブ,8,1165,130.0,140.0,1.4978111036807669,-2.159367886118675
351_master.svg,master,26,Aioi,相生,8,1232,140.0,161.0,1.8030219001737513,-1.568474514346705
45_append.svg,append,27,39Music!,39みゅーじっく！,8,1039,130.0,119.0,1.1691008847123086,-1.8074843617577754
102_master.svg,master,27,Ghost City Tokyo,幽霊東京,8,1053,124.0,133.0,1.3324767003442144,-2.194105256059588
211_master.svg,master,27,IF,イフ,8,1062,135.0,130.0,1.544253490954245,-1.7159121955605403
123_master.svg,master,27,dreamin chuchu,どりーみんチュチュ,8,1074,128.0,140.0,1.6415193424456316,-2.133190654439155
369_master.svg,master,27,Melancholic,メランコリック,8,1100,140.0,147.0,1.7297042953657458,-1.5505702064481746
280_master.svg,master,27,Hollow,虚ろを扇ぐ,8,1112,124.0,156.0,1.1415562118602833,-2.0985945885949118
256_master.svg,master,27,Double Lariat,ダブルラリアット,8,1115,138.0,142.0,2.0158408530771403,-1.7833370266773956
444_expert.svg,expert,27,syndrome,心泥夢(syndrome),8,1221,123.0,161.0,1.9909236199046658,-2.587578868067398
41_master.svg,master,27,Sweet Magic,スイートマジック,8,1224,123.0,149.0,1.9345206815461773,-2.52382498277546
354_expert.svg,expert,27,Setsuna Trip,セツナトリップ,8,1275,145.0,155.0,2.093499556832093,-1.428545767725349
381_expert.svg,expert,27,shinjinrui,新人類,8,1285,144.0,156.0,2.871989132583692,-1.9088095641479816
169_append.svg,append,27,Shoujo Rei,少女レイ,8,1300,150.0,159.0,2.7029213637900296,-1.4857197101058883
432_master.svg,master,28,Kyo-Fu All Back,強風オールバック,8,955,135.0,137.0,1.8202102644859992,-1.8713144981920826
